defcount,State,ERcount,Schcount,Curcount,DTI,income,shortcount,longcount,Period,ER_rate,Def_rate,termRatio
24,MO,55,15,1886,18.917987551867217,62565.39751037345,359,123,2013-04-01,0.027777777777777776,0.012121212121212121,0.3426183844011142
41,IL,132,33,4600,16.847374784110535,73676.68122625216,864,294,2013-04-01,0.02746566791510612,0.008531002913025386,0.3402777777777778
32,WA,97,18,2708,16.797496522948528,73150.66611961057,544,175,2013-04-01,0.033975481611208405,0.011208406304728547,0.32169117647058826
25,AL,40,9,1444,18.904848484848472,62321.184352617085,257,106,2013-04-01,0.026350461133069828,0.016469038208168644,0.41245136186770426
43,OH,107,38,3614,17.978181818181817,66046.6191295938,747,287,2013-04-01,0.02814308258811152,0.011309836927932667,0.38420348058902276
10,NM,20,5,621,17.97906040268456,70261.22147651007,115,34,2013-04-01,0.03048780487804878,0.01524390243902439,0.2956521739130435
59,PA,115,37,3943,17.643896236012193,69460.62610376398,700,283,2013-04-01,0.027684159845931634,0.014203177660086663,0.4042857142857143
3,SD,8,1,258,19.607230769230778,57074.93846153846,48,17,2013-04-01,0.02962962962962963,0.011111111111111112,0.3541666666666667
126,NY,335,79,10400,15.54982385908726,74506.62418334669,1937,561,2013-04-01,0.030621572212065813,0.011517367458866544,0.28962312854930305
83,TX,274,73,9080,18.256783305227682,76552.07904721754,1744,628,2013-04-01,0.028811777076761302,0.008727655099894847,0.36009174311926606
1,WV,15,6,556,19.242303370786516,64567.74994382023,133,45,2013-04-01,0.025951557093425604,0.0017301038062283738,0.3383458646616541
49,GA,122,35,3615,17.63731452455591,72495.01613375131,689,268,2013-04-01,0.03192881444647998,0.012823868097356713,0.3889695210449927
28,MA,94,38,3033,16.10780521262002,79313.46577503429,544,185,2013-04-01,0.02943939868462261,0.008769182586908864,0.3400735294117647
18,CO,81,11,2381,17.095821812595993,74961.87414746542,503,148,2013-04-01,0.03251706142111602,0.0072260136491368926,0.294234592445328
132,FL,260,62,8203,17.013265204386848,68637.05852941178,1593,413,2013-04-01,0.030033498902622156,0.015247776365946633,0.25925925925925924
2,AK,13,1,367,17.743448275862068,73973.64367816092,66,21,2013-04-01,0.033942558746736295,0.005221932114882507,0.3181818181818182
12,AR,29,5,864,18.87821428571427,57959.74571428571,187,37,2013-04-01,0.031868131868131866,0.013186813186813187,0.19786096256684493
12,OK,30,6,989,18.22164335664336,65345.2944055944,223,63,2013-04-01,0.02892960462873674,0.011571841851494697,0.2825112107623318
7,UT,41,3,840,17.79402654867257,68108.30530973451,166,60,2013-04-01,0.04601571268237935,0.007856341189674524,0.3614457831325301
8,HI,16,1,689,19.618994413407815,63016.358994413415,139,40,2013-04-01,0.022408963585434174,0.011204481792717087,0.28776978417266186
44,AZ,128,6,3325,17.330335946248578,66786.61239641657,635,258,2013-07-01,0.03654010847844705,0.012560662289466172,0.4062992125984252
16,SC,49,6,1654,17.8007769423559,69528.63426065163,279,120,2013-07-01,0.028405797101449276,0.00927536231884058,0.43010752688172044
25,LA,66,9,1786,18.450233050847476,73946.11391949152,330,142,2013-07-01,0.03499469777306469,0.013255567338282079,0.4303030303030303
30,MN,85,13,2433,16.811641541038526,68689.30028475712,425,172,2013-07-01,0.033190160093713394,0.011714174150722375,0.4047058823529412
94,NJ,161,48,5761,15.947947686116677,82780.06220657278,1057,434,2013-07-01,0.02655013192612137,0.01550131926121372,0.4105960264900662
4,DC,21,4,482,14.191181818181814,89143.86736363637,89,21,2013-07-01,0.0410958904109589,0.007827788649706457,0.23595505617977527
28,OR,60,10,1997,16.779116607773844,62970.20544169612,443,123,2013-07-01,0.028639618138424822,0.013365155131264916,0.27765237020316025
59,VA,151,29,4465,17.115110091743123,81342.45995412843,734,356,2013-07-01,0.03210034013605442,0.012542517006802721,0.48501362397820164
12,RI,22,6,637,16.778218390804604,65195.63390804598,123,51,2013-07-01,0.03249630723781388,0.01772525849335303,0.4146341463414634
22,KY,41,9,1281,17.850183486238535,63011.357186544345,227,100,2013-07-01,0.030303030303030304,0.016260162601626018,0.44052863436123346
4,WY,5,3,345,18.923763440860217,64733.11677419355,58,35,2013-07-01,0.014005602240896359,0.011204481792717087,0.603448275862069
6,NH,24,2,676,18.397321428571427,73558.17785714286,124,44,2013-07-01,0.03389830508474576,0.00847457627118644,0.3548387096774194
42,MI,108,11,3356,17.406556213017755,64573.3634556213,620,225,2013-07-01,0.03070798976400341,0.01194199601933466,0.3629032258064516
40,NV,53,10,2193,16.969492481203016,67943.22821428571,411,121,2013-07-01,0.023083623693379792,0.017421602787456445,0.2944038929440389
26,WI,51,10,1681,17.65311435523115,62549.71133819952,304,107,2013-07-01,0.028846153846153848,0.014705882352941176,0.3519736842105263
333,CA,853,136,24551,15.72776417525776,75030.09567815725,4852,1356,2013-07-01,0.032968731882657594,0.01287056004328837,0.27947238252267104
25,CT,85,21,2307,15.946863406408104,78098.70623946039,407,186,2013-07-01,0.034864643150123054,0.010254306808859722,0.457002457002457
1,VT,9,1,211,20.409411764705883,60864.705882352944,9,8,2013-07-01,0.04054054054054054,0.0045045045045045045,0.8888888888888888
46,MD,100,28,3442,16.55951807228916,79566.83645125959,607,306,2013-07-01,0.02765486725663717,0.012721238938053098,0.5041186161449753
26,MO,67,15,2326,18.58868613138686,64670.1016058394,404,144,2013-07-01,0.02752670501232539,0.010682004930156122,0.3564356435643564
63,IL,160,43,5774,16.37662499999999,73231.01066666665,1048,392,2013-07-01,0.026490066225165563,0.010430463576158941,0.37404580152671757
47,WA,115,14,3495,17.050820353063347,70330.98788161995,718,245,2013-07-01,0.03132661400163443,0.01280305093979842,0.3412256267409471
21,AL,58,12,1773,18.74609523809524,66792.6949047619,288,132,2013-07-01,0.03111587982832618,0.011266094420600859,0.4583333333333333
45,OH,127,20,4621,18.025429524603833,65412.44895746455,839,360,2013-07-01,0.026386868896738,0.009349677955537088,0.42908224076281287
13,NM,17,7,768,17.80027173913043,69843.06744565218,129,55,2013-07-01,0.02111801242236025,0.016149068322981366,0.4263565891472868
66,PA,157,38,5014,17.91472972972972,68281.74569819818,937,395,2013-07-01,0.02976303317535545,0.012511848341232227,0.4215581643543223
202,NY,394,96,13003,15.167948406676807,75399.36960546282,2455,840,2013-07-01,0.02876962395034684,0.01474990872581234,0.3421588594704684
140,TX,332,62,11322,17.980353025936562,75688.22082853023,2004,772,2013-07-01,0.028002699055330635,0.011808367071524967,0.3852295409181637
5,WV,24,7,720,18.77955,66852.0979,127,73,2013-07-01,0.031746031746031744,0.006613756613756613,0.5748031496062992
42,GA,139,25,4543,17.826243386243394,71569.47166666666,829,305,2013-07-01,0.02926931985681196,0.008843967150979154,0.36791314837153194
39,MA,132,41,3666,16.048402366863918,77066.50300591715,580,265,2013-07-01,0.03403816400206292,0.010056730273336771,0.45689655172413796
33,CO,87,21,3046,17.14467741935482,69416.50318858562,579,227,2013-07-01,0.027298399748980233,0.010354565422026984,0.3920552677029361
178,FL,333,68,10104,17.229052419354883,66693.47395564515,1879,601,2013-07-01,0.031171019376579612,0.01666198633342694,0.31985098456625866
15,AR,29,6,1070,18.800468750000004,64419.714921875,186,70,2013-07-01,0.025892857142857145,0.013392857142857142,0.3763440860215054
13,UT,52,4,1080,17.69521035598706,69703.68330097088,208,101,2013-07-01,0.04525674499564839,0.011314186248912098,0.4855769230769231
12,HI,33,1,819,17.930795454545457,68457.5153409091,123,53,2013-07-01,0.03815028901734104,0.013872832369942197,0.43089430894308944
48,AZ,158,26,4032,17.564281150159722,72326.87335463258,702,237,2013-10-01,0.037054409005628515,0.01125703564727955,0.33760683760683763
18,SC,57,11,2084,18.024476744186057,66712.7342635659,354,162,2013-10-01,0.026267281105990782,0.008294930875576038,0.4576271186440678
23,LA,50,8,2232,18.084402277039853,72640.80537001898,370,157,2013-10-01,0.021616947686986597,0.009943795936013834,0.4243243243243243
31,MN,80,13,3075,17.306005221932125,69233.54176240209,547,219,2013-10-01,0.02500781494216943,0.009690528290090653,0.40036563071297987
78,NJ,189,47,7126,16.03770101250742,85546.19612269205,1187,492,2013-10-01,0.025403225806451612,0.010483870967741936,0.4144903117101938
9,DC,16,3,565,14.691531531531526,85189.55990990992,86,25,2013-10-01,0.026981450252951095,0.01517706576728499,0.29069767441860467
26,OR,68,13,2463,16.955602094240845,63617.46240837697,439,134,2013-10-01,0.026459143968871595,0.010116731517509728,0.3052391799544419
60,VA,193,38,5560,17.42486291486292,79928.11475468976,973,413,2013-10-01,0.032985814390702445,0.01025465732353444,0.4244604316546763
10,RI,15,9,769,16.928072289156617,73517.18162650603,123,43,2013-10-01,0.0186799501867995,0.012453300124533,0.34959349593495936
16,KY,56,6,1646,19.22871331828443,66736.45130925508,296,147,2013-10-01,0.03248259860788863,0.009280742459396751,0.4966216216216216
4,WY,5,2,452,19.101016949152548,71643.22033898305,84,34,2013-10-01,0.01079913606911447,0.008639308855291577,0.40476190476190477
9,NH,34,4,847,18.010504587155964,74272.95949541284,155,63,2013-10-01,0.03803131991051454,0.010067114093959731,0.4064516129032258
48,MI,103,18,4352,18.04175965665231,67023.0705751073,832,333,2013-10-01,0.0227825702278257,0.010617120106171201,0.40024038461538464
49,NV,85,7,2638,17.540443686006796,70895.39967576793,461,125,2013-10-01,0.030586541921554515,0.017632241813602016,0.27114967462039047
20,WI,60,10,2225,17.65654574132491,65930.88383280758,443,191,2013-10-01,0.02591792656587473,0.008639308855291577,0.43115124153498874
360,CA,1052,164,29492,15.968174006444727,78282.95362436707,5023,1494,2013-10-01,0.03386120767349041,0.011587485515643106,0.29743181365717697
34,CT,94,15,2833,16.321270553064284,81601.73101644244,472,197,2013-10-01,0.031586021505376344,0.0114247311827957,0.4173728813559322
4,MT,20,1,533,18.82395348837209,61717.875968992244,93,36,2013-10-01,0.035842293906810034,0.007168458781362007,0.3870967741935484
