grade,def36mean,def36sd,def60mean,def60sd,defTime36mean,defTime36sd,defTime60mean,defTime60sd,repTime36mean,repTime36sd,repTime60mean,repTime60sd
A,0.055485589,0.228929736,0.09439528,0.292593714,0.506745999,0.253138091,0.444195228,0.236892699,0.747785647,0.285611955,0.585073202,0.298266318
B,0.105644045,0.307384184,0.165336607,0.371522082,0.495721248,0.243628649,0.415693868,0.227422629,0.737470594,0.291123657,0.583558457,0.289273335
C,0.158819782,0.365513238,0.244342874,0.429713009,0.472126654,0.244175406,0.4136969,0.220975347,0.719964205,0.302020596,0.54513133,0.286860304
D,0.204525674,0.403364912,0.303503531,0.459801965,0.453496306,0.246534179,0.379315148,0.223671914,0.717148351,0.307461025,0.512825867,0.296879095
E,0.226145755,0.418387011,0.344506518,0.475238696,0.429519086,0.247114358,0.372486819,0.218518399,0.715884284,0.310987044,0.518995688,0.308570998
F,0.25106383,0.433933027,0.387861649,0.487315759,0.380105502,0.259542295,0.354941834,0.223453896,0.71585139,0.322090037,0.486126778,0.300831431
G,0.189189189,0.397061277,0.41319797,0.492657909,0.307475678,0.257118723,0.342767694,0.211620915,0.696266428,0.32475096,0.459475574,0.295504202
